"Title","Canadian Total Exports"
"Industries","NAICS 3345 - Navigational, Measuring, Medical and Control Instruments Manufacturing"
"","NAICS 3346 - Manufacturing and Reproducing Magnetic and Optical Media"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Cyprus","34646","60460","27930","29689","57675","6055","1029","3003","77","11732"
"Lithuania","204596","68982","51567","40407","27550","112057","172480","99853","22464","11168"
"Slovenia","17591","29560","78474","19592","27059","4855","30597","22790","10924","10727"
"Cameroon","13461","22947","10","8623","6975","20","","11036","24806","10556"
"Serbia","65028","35191","48463","37925","26773","13741","100869","35518","28899","10214"
"Bosnia-Hercegovina","8387","282","88","3914","3554","406","11089","2914","1817","9925"
"Myanmar (Burma)","","","2439","","","","","99428","","9683"
"Barbados","172606","28643","31171","13015","9929","17893","14868","116579","82370","8907"
"Latvia","22396","62528","4549","424","2111","21307","5932","4070","7393","8523"
"Guinea","14203","2500","","40942","12954","12813","21844","14367","","8408"
