"Title","Canadian Total Exports"
"Industries","NAICS 3341 - Computer and Peripheral Equipment Manufacturing"
"","NAICS 3342 - Communications Equipment Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"United States","5448322571","4829452541","4079072830","3414822448","3137820554","3078599757","2807424904","2874499297","3258272509","3215554388"
"Mexico","231753048","194431880","140570801","278964391","197538686","118678648","151645178","164741865","141534596","159029594"
"Germany","81131465","58106691","49046055","44378826","41893004","85764270","81913268","64850744","88853318","139160589"
"United Kingdom","495976037","255512307","180667649","193315323","155783114","163876157","115693130","135635063","130921953","126215702"
"Hong Kong","97011686","55543104","35237645","40914102","78684148","57121669","68396113","78029305","67845222","122812404"
"United Arab Emirates","38665820","38735323","19576276","17114196","43661314","53220706","56194958","146929933","194185443","97654596"
"China","129908401","68952113","73851885","93617461","96212134","114870717","79776249","105570077","90037126","76652853"
"Australia","153650047","43995191","29325788","33263585","31957805","35069278","33292871","36911701","48567925","52891673"
"France (incl. Monaco, French Antilles)","144616705","137900823","89833554","73591692","83707392","90325499","67357399","52722775","56435066","44001219"
"Japan","157942985","68810012","83568045","25693834","27930800","32110248","32174400","54935645","34982034","39484450"
"Singapore","68988427","47710110","14805611","23696648","24737573","25709114","28112256","38049804","46097326","37992444"
"India","82504066","69465061","43688537","20780528","23271922","27193622","38484048","54789255","35776407","33863348"
"Sweden","22949126","14487872","12145683","16050248","19387763","16280975","12783241","15453233","15692616","29147231"
"Netherlands","61487270","38647455","36567304","31438789","40607480","28632069","25092454","21117422","23013949","28686329"
"Italy (incl. Vatican City State)","47333571","32519259","29739139","24109690","23798586","22516276","17248848","13727011","20803679","24608959"
"Brazil","64030475","47808634","65982925","105264534","97495330","40846560","24922780","25765413","28542395","23487271"
"South Africa","28553738","19106579","10657941","14858143","13808527","18786847","21624134","19633883","24447935","22308513"
"Luxembourg","2657302","295394","443797","1284346","704201","305194","298974","336793","781049","22211849"
"Saudi Arabia","12424294","7320155","6698274","16231051","10052092","11812314","13842978","11910594","20148093","18990075"
"Korea, South","81461400","44211952","38647457","43799563","15438800","25893734","37449575","21172336","16177749","17984943"
"Switzerland","13411305","14564917","12051129","12550950","7990596","7877727","9456819","7822531","13174115","17469087"
"Malaysia","17536552","8494685","15279377","21635919","21488816","29994436","40534966","41208042","33241876","17099389"
"Turkey","23426309","10102806","11802754","16204868","8012959","9675222","8808753","11155504","13060862","16343637"
"Spain","65051434","22918919","16544385","22434504","13555636","11122481","10851406","13126723","15185968","15017029"
"Indonesia","3886484","3544869","1886325","1298243","2588522","4109188","2114351","3252778","10114026","14462812"
"Russia","18276623","33642619","7346421","12213921","13962001","19364444","13650752","10165678","15714146","14094096"
"Israel","10956388","12664583","8360037","9073104","6226117","6843323","7093075","22649338","12052037","12428570"
"Taiwan","32109997","21405535","18981150","8836106","13568279","31644449","31831439","18530277","9067052","11781315"
"Thailand","32529296","49050983","22244353","14912766","19696140","16396431","18433630","13248025","14190289","11756689"
"Chile","26687550","15893688","14812472","12337714","16246780","7479895","5836598","6871638","8617216","10903006"
"Argentina","31814870","23045197","22257285","33850004","41962179","19519836","41357751","11905213","10643402","10768845"
"Hungary","20104820","20692905","37667624","53713558","69349525","63948665","45749468","23346601","15523046","9336946"
"Slovakia","3547168","2545097","1183693","2611822","5966261","1082716","1542387","2440874","1607905","8858241"
"Cuba","4977869","7075983","5831017","2916487","5049094","4615536","1734252","2584800","4808409","8547682"
"Colombia","12770984","8188869","3595847","5151147","5148083","5111548","6752710","7115980","12692452","8351189"
"Poland","14288264","11250302","6146587","4893248","7920975","8056124","5933318","6988713","7076059","8074891"
"Belgium","25289072","8466432","6912863","5242709","4412445","6588885","5410673","5919504","6290445","7666970"
"Peru","6034219","6631981","10544472","11994155","15100275","6011127","4962333","6018923","8047087","7170096"
"New Zealand","19853464","16266152","3941659","7493317","4732977","5073656","7009525","11452347","6936651","7075307"
"Vietnam","16675658","4887281","4648243","2123980","1963693","1820722","2289335","14832271","8191884","5673455"
" "
"Czech Republic","75952559","59546758","10499584","3466935","18290327","13223929","5022243","7246597","4244975","5532290"
"Norway","9243519","6432553","4517766","4210460","6344371","3543777","6696873","4503694","4962842","5476687"
"Austria","17561706","9885605","12313524","9384926","2487580","3540476","3302769","2308055","3506403","5427770"
