"Title","Canadian Total Exports"
"Industries","NAICS 3343 - Audio and Video Equipment Manufacturing"
"","NAICS 3344 - Semiconductor and Other Electronic Component Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Ghana","11592","51286","5161","22460","32833","14690","23365","21114","14356","40745"
"Togo","","","65","300","3536","2394","30194","1976","31387","37673"
"Saint Kitts and Nevis","50485","191515","25494","16628","1751","16814","91622","356564","8036","36100"
"Egypt","371707","88287","454907","100628","302700","182775","443351","55710","94479","34847"
"Saint Pierre-Miquelon","7366","6040","262372","19485","53284","16879","11807","1864","60078","34463"
"Haiti","44536","9473","592","23879","12353","28645","98811","1836934","22626","33534"
"Suriname","25983","153001","153009","61309","2187","89","48745","19387","8670","31304"
"Bahamas","86264","56717","337358","4287","18927","14503552","22065","23476","16822","27661"
"Greece","748711","461267","59138","75165","130188","41505","33648","26611","48421","27398"
"Antigua and Barbuda","40482","7869","35183","24855","7798","1738","1699","16247","7520","26815"
"Kazakhstan","88097","168766","179202","131412","50545","90744","34694","38972","18468","23164"
"Belarus (formerly Byelorussia)","83121","4900","29194","170","20","","","121","","21954"
"Serbia","61260","37213","4567","27038","2624","107214","27054","60269","15812","21849"
"Bermuda","120882","71375","41153","50341","73961","44158","16537","21875","47435","21827"
"Comoros","","","","8778","5439","6369","1304","","6206","21412"
"Malta","18312","25923","3878","68724","21456","698","50","17546","5618","20703"
"Fiji","24398","77494","67646","5458","2271","2626","187","3530","4986","20375"
"Nicaragua","15503","21678","87349","17519","40144","18160","2554","2388","6521","20331"
"Luxembourg","172526","34424","45390","161995","37478","61889","115824","41021","8346","20312"
"Rwanda","2605","3742","3104","","10500","1965","","","12655","19277"
"Namibia","6659","3804","3168","2","10031","478","800188","120440","1008838","18062"
"Bangladesh","559609","147878","173300","3359","142543","1940328","47836","18154","24049","17756"
